X--Trace 1::[AC: FREQUENCY],Mag: PR1: V(4),Phase: PR1: V(4),,X--Trace 2::[AC: FREQUENCY],Mag: PR1: I(C1),Phase: PR1: I(C1)
1,1,180,,1,0.000012566370415919003,89.98560000007609
1.2589254117941673,1,180,,1.2589254117941673,0.000015820122904500058,89.98187147422178
1.5848931924611136,1,180,,1.5848931924611136,0.00001991635445063672,89.97717753833079
1.99526231496888,1,180,,1.99526231496888,0.00002507320414649698,89.97126822326712
2.5118864315095806,1,180,,2.5118864315095806,0.000031565292694465074,89.96382883658832
3.16227766016838,1,180,,3.16227766016838,0.00003973834678795621,89.95446320409145
3.9810717055349736,1,180,,3.9810717055349736,0.000050027609973366265,89.94267257222401
5.011872336272725,1,180,,5.011872336272725,0.00006298102026732975,89.92782904790158
6.309573444801935,1,180,,6.309573444801935,0.00007928838848001411,89.9091421614364
7.9432823472428185,1,180,,7.9432823472428185,0.00009981813041436897,89.88561677219126
10.000000000000005,1,180,,10.000000000000005,0.0001256635077037344,89.85600007580138
12.58925411794168,1,180,,12.58925411794168,0.00015820083706519897,89.81871489194306
15.848931924611145,1,180,,15.848931924611145,0.00019916276240499711,89.77177568204895
19.95262314968881,1,180,,19.95262314968881,0.0002507304809712361,89.71268282873734
25.118864315095824,1,180,,25.118864315095824,0.0003156498133618742,89.63828955518892
31.622776601683825,1,180,,31.622776601683825,0.000397377255501749,89.54463441388313
39.81071705534977,1,180,,39.81071705534977,0.000500263704525954,89.42673045690854
50.11872336272729,1,180,,50.11872336272729,0.0006297854713481106,89.27829992583763
63.0957344480194,1,180,,63.0957344480194,0.000792834540475209,89.09144046298644
79.43282347242825,1,180,,79.43282347242825,0.000998082852927743,88.8562053290205
100.00000000000014,1,180,,100.00000000000014,0.0012564386525966414,88.56007579140962
125.89254117941691,1,180,,125.89254117941691,0.0015816164889192136,88.18729862235983
158.4893192461116,1,180,,158.4893192461116,0.0019908458327550344,87.71805549061388
199.52623149688827,1,180,,199.52623149688827,0.002505745296292945,87.12742412887431
251.18864315095843,1,180,,251.18864315095843,0.0031533876497181145,86.38408414727738
316.2277660168385,1,180,,316.2277660168385,0.003967569970951188,85.44871486191602
398.10717055349795,1,180,,398.10717055349795,0.004990272779275835,84.27203214110713
501.1872336272732,1,180,,501.1872336272732,0.0062732210905095806,82.79242366284755
630.9573444801945,1,180,,630.9573444801945,0.007879309321805488,80.93318248070868
794.3282347242831,1,180,,794.3282347242831,0.009883348475204818,78.59943718783488
1000.000000000002,1,180,,1000.000000000002,0.012371015369980483,75.67508838682969
1258.9254117941698,1,180,,1258.9254117941698,0.015433850596339343,72.02048083227038
1584.8931924611168,1,180,,1584.8931924611168,0.019156491536955922,67.4723131615738
1995.2623149688839,1,180,,1995.2623149688839,0.023590172614099087,61.84857365883695
2511.8864315095857,1,180,,2511.8864315095857,0.028705201683465516,54.96308875641497
3162.2776601683863,1,180,,3162.2776601683863,0.03431892556294455,46.65588408847794
3981.0717055349814,1,180,,3981.0717055349814,0.040013253426262774,36.84457800737356
5011.872336272734,1,180,,5011.872336272734,0.04509400345351114,25.593694987398685
6309.5734448019475,1,180,,6309.5734448019475,0.04868306675440185,13.179300899917578
7943.2823472428345,1,180,,7943.2823472428345,0.049999917249269235,0.10424132514635076
10000.000000000025,1,180,,10000.000000000025,0.04872316614369451,-12.9762254907524
12589.254117941706,1,180,,12589.254117941706,0.04516469782430025,-25.405521019913827
15848.931924611177,1,180,,15848.931924611177,0.040100484993195615,-36.6775546168335
19952.62314968885,1,180,,19952.62314968885,0.03440975416845571,-46.51259664339897
25118.86431509587,1,180,,25118.86431509587,0.02879078801765462,-54.84321956929813
31622.776601683883,1,180,,31622.776601683883,0.0236659427219265,-61.750052859202576
39810.71705534984,1,180,,39810.71705534984,0.019220967201242452,-67.3923028315354
50118.72336272738,1,180,,50118.72336272738,0.015487350233859509,-71.95601550855012
63095.734448019524,1,180,,63095.734448019524,0.012414702265554448,-75.62341447864952
79432.82347242841,1,180,,79432.82347242841,0.009918661925470256,-78.55815343984429
100000.00000000033,1,180,,100000.00000000033,0.007907671241469145,-80.90026936744725
125892.54117941715,1,180,,125892.54117941715,0.006295907422348312,-82.76621920623555
158489.3192461119,1,180,,158489.3192461119,0.00500837268925501,-84.25118668843038
199526.23149688868,1,180,,199526.23149688868,0.003981987252006184,-85.43214139464787
251188.64315095893,1,180,,251188.64315095893,0.003164859806903388,-86.37091166861723
316227.76601683913,1,180,,316227.76601683913,0.002514868046430002,-87.11695698138269
398107.1705534988,1,180,,398107.1705534988,0.0019980973537068376,-87.70973918343911
501187.2336272742,1,180,,501187.2336272742,0.001587379115843466,-88.18069174784902
630957.3444801958,1,180,,630957.3444801958,0.0012610173429345064,-88.55482724450368
794328.2347242847,1,180,,794328.2347242847,0.0010017204741471484,-88.8520359739922
1000000.0000000041,1,180,,1000000.0000000041,0.0007957243256286239,-89.08812845121456
1258925.4117941724,1,180,,1258925.4117941724,0.0006320810696386755,-89.27566897321805
1584893.19246112,1,180,,1584893.19246112,0.0005020872434345466,-89.42464050203246
1995262.314968888,1,180,,1995262.314968888,0.00039882578422877237,-89.54297418229778
2511886.4315095907,1,180,,2511886.4315095907,0.00031680044081799463,-89.63697064516757
3162277.660168393,1,180,,3162277.660168393,0.0002516444669706029,-89.71163500936339
3981071.70553499,1,180,,3981071.70553499,0.00019988877236116093,-89.77094315602814
5011872.336272745,1,180,,5011872.336272745,0.00015877752980852702,-89.81805332569877
6309573.444801961,1,180,,6309573.444801961,0.00012612159229202468,-89.85547423924749
7943282.347242852,1,180,,7943282.347242852,0.00010018200058477871,-89.88519866300923
10000000.000000047,1,180,,10000000.000000047,0.00007957742116797302,-89.90880951400791
12589254.117941732,1,180,,12589254.117941732,0.00006321060725310458,-89.92756414757797
15848931.92461121,1,180,,15848931.92461121,0.000050209977438637807,-89.94246131206668
19952623.149688892,1,180,,19952623.149688892,0.000039883206502602525,-89.9542943339015
25118864.315095924,1,180,,25118864.315095924,0.000031680358838656734,-89.96369336333744
31622776.60168395,1,180,,31622776.60168395,0.000025164604470278934,-89.97115893256503
39810717.05534992,1,180,,39810717.05534992,0.000019988956383161653,-89.97708861009903
50118723.36272748,1,180,,50118723.36272748,0.000015877792546190674,-89.98179817238832
63095734.448019646,1,180,,63095734.448019646,0.000012612179140506063,-89.98553842153224
79432823.47242856,1,180,,79432823.47242856,0.000010018209929837243,-89.9885085384853
100000000.00000052,1,180,,100000000.00000052,0.0000079577470307952,-89.99086669345442
125892541.17941739,1,180,,125892541.17941739,0.000006321062988974204,-89.99273846623167
158489319.2461122,1,180,,158489319.2461122,0.0000050209991247693715,-89.99422353667606
199526231.49688905,1,180,,199526231.49688905,0.000003988321398381453,-89.99540098904585
251188643.1509594,1,180,,251188643.1509594,0.0000031680356678339606,-89.99633352623847
316227766.0168397,1,180,,316227766.0168397,0.000002516460802102603,-89.99707081201724
398107170.55349946,1,180,,398107170.55349946,0.0000019988956134797693,-89.99765210668873
501187233.6272751,1,180,,501187233.6272751,0.0000015877794690403163,-89.99810836816222
630957344.4801968,1,180,,630957344.4801968,0.0000012612190186918148,-89.99846389443664
794328234.7242861,1,180,,794328234.7242861,0.0000010018217266567162,-89.99873761593307
1000000000.0000058,1,180,,1000000000.0000058,7.957753348719935e-7,-89.99894411139184
1258925411.7941747,1,180,,1258925411.7941747,6.321059426224951e-7,-89.99909437351018
1584893192.461123,1,180,,1584893192.461123,5.021012808935279e-7,-89.99919641390862
1995262314.9688916,1,180,,1995262314.9688916,3.9882968894415164e-7,-89.99925564829735
2511886431.5095954,1,180,,2511886431.5095954,3.1680244473550555e-7,-89.9992752528583
3162277660.168399,1,180,,3162277660.168399,2.5165155058848346e-7,-89.99925628915247
3981071705.5349975,1,180,,3981071705.5349975,1.998950042979435e-7,-89.99919769132629
5011872336.272755,1,180,,5011872336.272755,1.5878116329554645e-7,-89.99909636007753
6309573444.801973,1,180,,6309573444.801973,1.261263032376484e-7,-89.99894693432391
