X--Trace 1::[interactive: TIME],Y--Trace 1::[V_out: V(1)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[V_in: V(3)]
0,-0.0019301335077259076,,0,0
1.4901161193847657e-13,-0.0019313823430244237,,1.4901161193847657e-13,9.362675707309822e-10
2.9802322387695315e-13,-0.0019329223262940622,,2.9802322387695315e-13,1.8725351414619645e-9
5.960464477539063e-13,-0.001931382203888607,,5.960464477539063e-13,3.745070282923929e-9
1.1920928955078126e-12,-0.0019313821185806576,,1.1920928955078126e-12,7.490140565847858e-9
2.384185791015625e-12,-0.0019313819677610406,,2.384185791015625e-12,1.4980281131695716e-8
4.76837158203125e-12,-0.0019313816841235452,,4.76837158203125e-12,2.9960562263391425e-8
9.5367431640625e-12,-0.0019313790457860733,,9.5367431640625e-12,5.992112452678282e-8
1.9073486328125e-11,-0.0019329203872219323,,1.9073486328125e-11,1.1984224905356544e-7
3.814697265625e-11,-0.0019298356488397475,,3.814697265625e-11,2.396844981071292e-7
7.62939453125e-11,-0.0019313786986117365,,7.62939453125e-11,4.793689962142446e-7
1.48773193359375e-10,-0.00193289846321782,,1.48773193359375e-10,9.347695426176764e-7
2.93731689453125e-10,-0.0019328499023185159,,2.93731689453125e-10,0.0000018455706354238642
5.83648681640625e-10,-0.0019327352102606924,,5.83648681640625e-10,0.000003667172821030891
1.1634826660156252e-9,-0.0019310659114236673,,1.1634826660156252e-9,0.000007310377192202397
2.3231506347656252e-9,-0.0019309931257355127,,2.3231506347656252e-9,0.00001459678593420596
4.642486572265626e-9,-0.0019308995225887531,,4.642486572265626e-9,0.000029169603415501334
9.281158447265626e-9,-0.0019297130105776935,,9.281158447265626e-9,0.000058315238356413295
1.8558502197265627e-8,-0.001931472260836212,,1.8558502197265627e-8,0.00011660650806486816
3.711318969726563e-8,-0.0019305178499927755,,3.711318969726563e-8,0.00023318904609506957
7.422256469726563e-8,-0.0019308463073994006,,7.422256469726563e-8,0.0004663541110627834
1.4844131469726564e-7,-0.0019305072365775585,,1.4844131469726564e-7,0.0009326841522606127
2.9687881469726565e-7,-0.001931439517190714,,2.9687881469726565e-7,0.0018653435247712475
5.937538146972657e-7,-0.001931298900614496,,5.937538146972657e-7,0.0037306565907789793
9.849301068930055e-7,-0.001934295179141272,,9.849301068930055e-7,0.006188458875622628
0.000001741866055431301,-0.0019397147861388042,,0.000001741866055431301,0.010944248717337176
0.0000032557379525078916,-0.0019644683623090474,,0.0000032557379525078916,0.020454978183869602
0.000006283481746661073,-0.0020539343443882704,,0.000006283481746661073,0.0394700247182465
