X--Trace 1::[interactive: TIME],Y--Trace 1::[V_in: V(2)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[V_out: V(3)]
0,0,,0,0.0011803070014960882
0.0000010000000000000002,0.0020000000000000005,,0.0000010000000000000002,-0.8095888159593998
0.0000020000000000000003,0.004000000000000001,,0.0000020000000000000003,-0.7880600659504984
0.000004000000000000001,0.008000000000000002,,0.000004000000000000001,-0.8096685060988893
0.000008000000000000001,0.016000000000000004,,0.000008000000000000001,-0.7879212168274422
0.000016000000000000003,0.03200000000000001,,0.000016000000000000003,-0.8097526200372743
0.000032000000000000005,0.06400000000000002,,0.000032000000000000005,-0.7878674396229284
0.00006400000000000001,0.12800000000000003,,0.00006400000000000001,-0.8097823965916261
0.00012800000000000002,0.25600000000000006,,0.00012800000000000002,-0.7878518873472835
0.000228,0.456,,0.000228,-0.8097910902035926
0.000328,0.656,,0.000328,-0.7878450077054688
0.000428,0.856,,0.000428,-0.8097980450689501
0.0005,1,,0.0005,-0.7878365927088056
0.00051,0.98,,0.00051,0.8013904682903985
0.0005300000000000001,0.9399999999999998,,0.0005300000000000001,0.8005561685096801
0.0005700000000000001,0.8599999999999999,,0.0005700000000000001,0.8020115501493508
0.0006500000000000001,0.6999999999999998,,0.0006500000000000001,0.8002457734979096
0.0007500000000000001,0.4999999999999998,,0.0007500000000000001,0.8021977686984756
0.0008500000000000002,0.2999999999999997,,0.0008500000000000002,0.8000802388964807
0.0009500000000000002,0.09999999999999964,,0.0009500000000000002,0.802363310182478
0.001,0,,0.001,0.799831909113424
0.00101,0.020000000000000052,,0.00101,-0.7988320922474751
0.00103,0.06000000000000016,,0.00103,-0.7983927128999533
0.0010700000000000002,0.14000000000000037,,0.0010700000000000002,-0.7994541207190301
0.0011500000000000002,0.3000000000000003,,0.0011500000000000002,-0.7980818179150654
0.0012500000000000002,0.5000000000000004,,0.0012500000000000002,-0.7996406352093206
0.0013500000000000003,0.7000000000000005,,0.0013500000000000003,-0.7979160219768711
0.0014500000000000003,0.9000000000000006,,0.0014500000000000003,-0.7998064365916666
0.0015,1,,0.0015,-0.7976673054282666
0.00151,0.98,,0.00151,0.8011933193224785
0.0015300000000000001,0.9399999999999998,,0.0015300000000000001,0.8007500560120074
0.0015700000000000002,0.8599999999999997,,0.0015700000000000002,0.8018197124923148
0.0016500000000000002,0.6999999999999997,,0.0016500000000000002,0.8004365868014323
0.0017500000000000003,0.49999999999999956,,0.0017500000000000003,0.802007775679907
0.0018500000000000003,0.2999999999999995,,0.0018500000000000003,0.8002694122613434
0.0019500000000000003,0.09999999999999942,,0.0019500000000000003,0.802174955857255
0.002,0,,0.002,0.8000186271972928
0.00201,0.020000000000000052,,0.00201,-0.7988300656673695
0.00203,0.06000000000000016,,0.00203,-0.7983946936657444
0.0020700000000000002,0.14000000000000037,,0.0020700000000000002,-0.7994521681790391
0.0021500000000000004,0.30000000000000077,,0.0021500000000000004,-0.7980837566357784
0.0022500000000000003,0.5000000000000004,,0.0022500000000000003,-0.7996387074707351
0.00235,0.7000000000000001,,0.00235,-0.7979179387498568
0.00245,0.8999999999999997,,0.00245,-0.7998045308008938
0.0025,1,,0.0025,-0.7976691889604486
0.00251,0.98,,0.00251,0.801193280118325
0.00253,0.9399999999999998,,0.00253,0.8007501258163039
0.0025700000000000002,0.8599999999999997,,0.0025700000000000002,0.80181962305175
0.0026500000000000004,0.6999999999999993,,0.0026500000000000004,0.8004366861571872
0.0027500000000000003,0.49999999999999956,,0.0027500000000000003,0.8020076683531474
0.00285,0.29999999999999993,,0.00285,0.8002695275745034
0.00295,0.10000000000000031,,0.00295,0.8021748324886467
0.003,0,,0.003,0.8000187668773091
0.00301,0.020000000000000052,,0.00301,-0.7988300875281191
0.00303,0.06000000000000016,,0.00303,-0.7983946678844878
0.0030700000000000002,0.14000000000000037,,0.0030700000000000002,-0.7994521966196049
0.0031500000000000005,0.30000000000000077,,0.0031500000000000005,-0.7980837268196475
0.0032500000000000003,0.5000000000000004,,0.0032500000000000003,-0.7996387383999449
0.00335,0.7000000000000001,,0.00335,-0.7979179066462176
0.00345,0.8999999999999997,,0.00345,-0.79980456412434
0.0035,1,,0.0035,-0.7976691533221295
0.00351,0.98,,0.00351,0.8011932790010348
0.00353,0.9399999999999998,,0.00353,0.8007501217956814
0.0035700000000000003,0.8599999999999997,,0.0035700000000000003,0.8018196307063362
0.0036500000000000005,0.6999999999999993,,0.0036500000000000005,0.8004366766343877
0.0037500000000000003,0.49999999999999956,,0.0037500000000000003,0.8020076793970446
0.00385,0.29999999999999993,,0.00385,0.8002695149493441
0.00395,0.09999999999999942,,0.00395,0.8021748467374568
0.004,0,,0.004,0.8000187493975474
0.00401,0.019999999999999185,,0.00401,-0.7988300852656065
0.00403,0.05999999999999929,,0.00403,-0.7983946665330033
0.00407,0.13999999999999949,,0.00407,-0.7994521999162165
0.00415,0.29999999999999993,,0.00415,-0.7980837225476892
0.00425,0.5000000000000004,,0.00425,-0.7996387433916011
0.004350000000000001,0.700000000000001,,0.004350000000000001,-0.7979179009708066
0.004450000000000001,0.9000000000000015,,0.004450000000000001,-0.7998045704702555
0.0045000000000000005,0.9999999999999991,,0.0045000000000000005,-0.7976691457049023
0.00451,0.98,,0.00451,0.8011932745838525
0.00453,0.9399999999999998,,0.00453,0.8007501347379784
0.00457,0.8599999999999997,,0.00457,0.8018196117949603
0.0046500000000000005,0.6999999999999993,,0.0046500000000000005,0.8004366987483875
0.004750000000000001,0.49999999999999867,,0.004750000000000001,0.802007654625692
0.004850000000000001,0.29999999999999816,,0.004850000000000001,0.8002695424631732
0.004950000000000001,0.09999999999999765,,0.004950000000000001,0.8021748164563196
0.005,0,,0.005,0.800018784900427
0.00501,0.019999999999999185,,0.00501,-0.7988300866840594
0.00503,0.05999999999999929,,0.00503,-0.7983946771397025
0.00507,0.13999999999999949,,0.00507,-0.7994521819866587
0.00515,0.29999999999999993,,0.00515,-0.7980837441109795
0.00525,0.5000000000000004,,0.00525,-0.7996387189815171
0.005350000000000001,0.700000000000001,,0.005350000000000001,-0.7979179282414909
0.005450000000000001,0.9000000000000015,,0.005450000000000001,-0.7998045402813379
0.0055,0.9999999999999991,,0.0055,-0.7976691818992351
0.005509999999999999,0.9800000000000016,,0.005509999999999999,0.8011932856682101
0.005529999999999999,0.9400000000000016,,0.005529999999999999,0.8007501144177598
0.005569999999999999,0.8600000000000014,,0.005569999999999999,0.8018196382929235
0.00565,0.700000000000001,,0.00565,0.8004366688651525
0.00575,0.5000000000000004,,0.00575,0.8020076873291513
0.00585,0.29999999999999993,,0.00585,0.8002695068598187
0.00595,0.09999999999999942,,0.00595,0.8021748550622823
0.006,0,,0.006,0.8000187401364368
0.00601,0.019999999999999185,,0.00601,-0.798830078998829
0.00603,0.05999999999999929,,0.00603,-0.7983946847533546
0.00607,0.13999999999999949,,0.00607,-0.7994521744450427
0.00615,0.29999999999999993,,0.00615,-0.7980837515188395
0.00625,0.5000000000000004,,0.00625,-0.7996387117583891
0.006350000000000001,0.700000000000001,,0.006350000000000001,-0.7979179352463134
0.006450000000000001,0.9000000000000015,,0.006450000000000001,-0.7998045334995884
0.006500000000000001,0.9999999999999991,,0.006500000000000001,-0.7976691882006137
0.00651,0.98,,0.00651,0.801193289371559
0.00653,0.9399999999999998,,0.00653,0.8007500985982551
0.00657,0.8599999999999997,,0.00657,0.801819661641019
0.0066500000000000005,0.6999999999999993,,0.0066500000000000005,0.8004366419726812
0.006750000000000001,0.49999999999999867,,0.006750000000000001,0.8020077169543712
0.006850000000000001,0.29999999999999816,,0.006850000000000001,0.8002694745401017
0.006950000000000001,0.09999999999999765,,0.006950000000000001,0.8021748900844993
0.007,0,,0.007,0.8000186995673724
0.00701,0.019999999999999185,,0.00701,-0.7988300704006079
0.00703,0.05999999999999929,,0.00703,-0.7983946968885194
0.00707,0.13999999999999949,,0.00707,-0.7994521604304999
0.00715,0.29999999999999993,,0.00715,-0.7980837664440003
0.00725,0.5000000000000004,,0.00725,-0.7996386960492836
