Wavelength (nm),%T
791.00012,77.91749
789.98969,78.00884
789.01373,77.93714
788.00256,77.91119
786.99084,77.84256
786.01373,78.01382
785.0014,78.0616
783.98859,77.75183
783.01031,77.83076
781.99677,77.92107
780.98273,77.67128
780.00342,77.89406
778.98865,77.83162
778.00854,77.89232
776.99298,77.90752
776.01215,78.04972
774.99585,77.9679
774.01422,78.04679
772.99713,78.0808
772.01477,78.15254
770.99695,78.28098
770.01379,78.23177
768.99524,78.30675
768.01141,78.3522
766.992,78.28725
766.00745,78.13627
764.9873,78.29185
764.00195,78.30734
763.0163,78.6028
761.995,78.47186
761.00861,78.48934
759.98657,78.72568
758.99939,78.64558
758.0119,78.74915
756.98877,78.78856
756.00049,78.60172
755.01196,78.83829
753.98767,78.80016
752.99835,78.84406
752.00873,78.96471
750.98334,78.93436
749.99286,79.11906
749.00214,79.14645
748.01099,79.3482
746.98413,79.28741
745.99237,79.4031
745.00012,79.41158
744.00763,79.70413
743.01477,79.79097
741.98602,79.93258
740.99249,79.99297
739.99854,80.01125
739.00421,79.97955
738.00958,80.14095
737.01459,80.33239
735.98376,80.4564
734.98798,80.56396
733.992,80.66307
732.99561,80.79717
731.99884,80.93727
731.00177,81.08532
730.00427,81.18357
729.00653,81.32214
728.00842,81.43938
727.01001,81.55082
726.01117,81.713
725.01202,81.85265
724.01257,82.05524
723.01276,82.11935
722.01251,82.23322
721.01202,82.45351
720.01123,82.6181
719.01001,82.78824
718.00848,82.86896
717.00653,83.04905
716.00433,83.18153
715.00183,83.33813
713.99896,83.46193
712.99573,83.61799
711.99213,83.79308
710.98822,83.93831
709.98401,84.0442
709.01538,84.19417
708.01044,84.35817
707.00519,84.5281
705.99963,84.68858
704.99371,84.81623
703.98755,84.81624
703.01691,84.95889
702.01001,85.18425
701.00287,85.25332
699.9953,85.38712
698.98743,85.51188
698.01526,85.73823
697.00671,85.73579
695.9978,85.81925
694.98871,85.99403
694.01526,86.07961
693.00537,86.35176
691.99524,86.30623
690.9848,86.38942
690.01013,86.45409
688.99896,86.60659
687.98755,86.73582
687.0119,86.79947
685.99982,86.7576
684.98743,86.89369
684.01086,87.09586
682.99786,87.0205
681.9845,87.09229
681.00702,87.22217
679.99298,87.28043
679.01495,87.20145
678.00031,87.28549
676.98535,87.30009
