t_c,theta_0,t_d,theta_t,ratio,log
15.53,20,2.46,14.63,1.367053998632946,0.13578566953867036
15.2,20,4.23,10.71,1.8674136321195143,0.2712405248321255
15.13,20,6.2,7.83,2.554278416347382,0.4072682336060378
15.01,20,8.85,5.73,3.490401396160558,0.5428753736965912
14.83,20,10.27,4.19,4.77326968973747,0.6788159726976859
