V_max,V_min,f_c (kHz),A_c (V),m
0.6680999999999999,0.07449999999999957,10,10,0.7993536224077575
0.6821000000000002,0.11519999999999975,10,15,0.7110247083908197
1.7675999999999998,0.9980000000000002,100,10,0.27827596181660386
2.6944,1.7005,100,15,0.22614849029556988
